,id_rc,row,column,x,y,in_bounds,cond_mt_lowcrust_conus117_250m,cond_mt_mantle_conus117_250m,cond_mt_midcrust_conus117_250m,cond_mt_surface_conus117_250m,cond_mt_upmantle_conus117_250m,dem_conus117_250m,depth_to_basement_conus117_250m,deq_n100a05_conus117_250m,deq_n100a10_conus117_250m,deq_n100a15_conus117_250m,deq_n200a05_conus117_250m,deq_n200a10_conus117_250m,deq_n200a15_conus117_250m,deq_n50a05_conus117_250m,deq_n50a10_conus117_250m,deq_n50a15_conus117_250m,elevation_detrended_span005_conus117_250m,elevation_detrended_span01_conus117_250m,elevation_detrended_span03_conus117_250m,elevation_trend_span005_conus117_250m,elevation_trend_span01_conus117_250m,elevation_trend_span03_conus117_250m,geod_2ndinv_conus117_250m,geod_dilation_conus117_250m,geod_shear_conus117_250m,grav_iso_anom_conus117_250m,heatflow_eqwt_conus117_250m,heatflow_qcwt_conus117_250m,heatflow_tcwt_conus117_250m,hs_conus117_250m,ieq_n100a05_conus117_250m,ieq_n100a10_conus117_250m,ieq_n100a15_conus117_250m,ieq_n200a05_conus117_250m,ieq_n200a10_conus117_250m,ieq_n200a15_conus117_250m,ieq_n50a05_conus117_250m,ieq_n50a10_conus117_250m,ieq_n50a15_conus117_250m,mag_iso_anom_conus117_250m,qfaults_dist_age_0-15k_conus117_250m,qfaults_dist_age_130k-750k_conus117_250m,qfaults_dist_age_15k-130k_conus117_250m,qfaults_dist_age_750k-2600k_conus117_250m,qfaults_dist_age_other_conus117_250m,qfaults_dist_all_conus117_250m,qfv2_lr_recsr_conus117_250m,tsite_dist_hfqcresid_neg_conus117_250m,PosSite_Distance,NegSite_Distance,geometry
3718575,R1035C1890,1035,1890,66425.47424,1981620.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.070677,1627,545.76935,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-103.94153,-117.48706,-143.99939,1723.3363,1736.8818,1763.3942,1.2,1.3,0,7.7547174,86.36422,89.625595,87.074234,246,1084.4,1228.6,582.1,1764.6,2169.2,748.9,695.4,403.5,231.1,-36.82594,19877.752,13829.316,25086.102,5255.949,129203.57,5255.949,-9.0358095,1000,45793.695,24840.742,POINT (66425.47424112831 1981620.1753636356)
3722164,R1036C1888,1036,1888,65925.47424,1981370.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.0679207,1611,880.31885,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-124.36597,-139.08862,-166.42163,1719.8374,1734.56,1761.8931,1.2,1.3,0,5.299303,86.41514,89.62233,87.11698,243,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-32.26816,19353.617,13287.683,24781.545,4930.7705,129426.14,4930.7705,-9.00548,901.3878,45260.36,24869.66,POINT (65925.47424112831 1981370.1753636356)
3722165,R1036C1889,1036,1889,66175.47424,1981370.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.070677,1648,880.31885,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-106.26599,-120.672485,-148.02686,1720.7775,1735.184,1762.5383,1.2,1.3,0,5.299303,86.39017,89.61872,87.09263,240,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-32.26816,19602.295,13532.368,24996.25,5147.815,129439.414,5147.815,-9.023422,790.5694,45440.207,24744.95,POINT (66175.47424112831 1981370.1753636356)
3722166,R1036C1890,1036,1890,66425.47424,1981370.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.070677,1661,545.76935,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-61.128296,-75.03638,-102.12366,1722.2587,1736.1667,1763.254,1.2,1.3,0,7.7547174,86.36547,89.615395,87.06855,241,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-36.82594,19851.008,13777.246,25211.604,5367.7275,129453.18,5367.7275,-9.040928,750,45620.72,24622.145,POINT (66425.47424112831 1981370.1753636356)
3722167,R1036C1891,1036,1891,66675.47424,1981370.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.070677,1667,545.76935,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-79.12109,-92.53174,-119.352905,1723.7375,1737.1482,1763.9694,1.2,1.3,0,7.7547174,86.341034,89.61235,87.04474,248,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-36.82594,20099.752,14022.304,25427.594,5590.17,129467.42,5590.17,-9.058054,790.5694,45801.883,24501.275,POINT (66675.47424112831 1981370.1753636356)
3722168,R1036C1892,1036,1892,66925.47424,1981370.175,1,3.9623642,4.2664585,3.2294407,3.7362225,4.070677,1704,545.76935,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-22.21399,-35.30713,-62.148315,1724.681,1737.7742,1764.6154,1.2,1.3,0,7.7547174,86.316864,89.60958,87.021194,252,1147.3,1188.9,582.2,1901,2077.7,720.3,714.3,408.7,227.2,-36.82594,20348.525,14267.533,25644.2,5814.8516,129482.14,5814.8516,-9.074686,901.3878,45983.69,24382.371,POINT (66925.47424112831 1981370.1753636356)
3722356,R1036C2080,1036,2080,113925.4742,1981370.175,1,3.8536372,4.270189,3.4400048,3.538516,3.930566,1673,562.79193,150.1,119.6,119.5,102.3,90.7,98.3,345.7,213,181.4,-85.680664,-145.05103,-185.73755,1762.9247,1822.295,1862.9816,1,1,0,4.0342336,85.31017,92.52684,86.092155,214,200.7,397.1,333.2,246.7,334.4,560.5,144.2,266.8,156,-49.355354,18183.096,61061.957,34577.812,5590.17,130277.586,5590.17,-9.116447,1000,40697.05,33701.816,POINT (113925.47424112831 1981370.1753636356)
3725754,R1037C1887,1037,1887,65675.47424,1981120.175,1,3.9623642,4.2604985,3.3595555,3.7049596,4.0679207,1615,391.1214,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-111.24573,-126.83533,-155.01697,1717.2626,1732.8522,1761.0338,1.2,1.3,0,11.402786,86.44171,89.6162,87.136024,234,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-19.821384,19080.422,12992.786,24698.178,4854.122,129663.02,4854.122,-8.994284,901.3878,44906.848,24781.545,POINT (65675.47424112831 1981120.1753636356)
3725755,R1037C1888,1037,1888,65925.47424,1981120.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.0679207,1613,391.1214,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-97.154175,-112.242676,-140.1543,1718.751,1733.8395,1761.7511,1.2,1.3,0,11.402786,86.41647,89.61229,87.1114,240,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-19.821384,19329.38,13238.202,24911.092,5062.1143,129675.8,5062.1143,-9.012063,707.1068,45086.723,24653.854,POINT (65925.47424112831 1981120.1753636356)
3725756,R1037C1889,1037,1889,66175.47424,1981120.175,1,3.9623642,4.2664585,3.3595555,3.7362225,4.070677,1650,391.1214,1097.4,385.1,162.6,919.2,161.2,98.6,1716.8,1820.3,368.2,-75.35498,-90.125,-118.05554,1719.6971,1734.4672,1762.3977,1.2,1.3,0,11.402786,86.39151,89.608665,87.08704,248,1090.9,1243.7,581.7,1964,2286.1,750,698.7,397.8,232.6,-19.821384,19578.37,13483.786,25124.69,5273.756,129689.055,5273.756,-9.029452,559.01697,45267.26,24528.045,POINT (66175.47424112831 1981120.1753636356)
