,id_rc,row,column,x,y,in_bounds,cond_mt_lowcrust_conus117_250m,cond_mt_mantle_conus117_250m,cond_mt_midcrust_conus117_250m,cond_mt_surface_conus117_250m,cond_mt_upmantle_conus117_250m,dem_conus117_250m,depth_to_basement_conus117_250m,deq_n100a05_conus117_250m,deq_n100a10_conus117_250m,deq_n100a15_conus117_250m,deq_n200a05_conus117_250m,deq_n200a10_conus117_250m,deq_n200a15_conus117_250m,deq_n50a05_conus117_250m,deq_n50a10_conus117_250m,deq_n50a15_conus117_250m,elevation_detrended_span005_conus117_250m,elevation_detrended_span01_conus117_250m,elevation_detrended_span03_conus117_250m,elevation_trend_span005_conus117_250m,elevation_trend_span01_conus117_250m,elevation_trend_span03_conus117_250m,geod_2ndinv_conus117_250m,geod_dilation_conus117_250m,geod_shear_conus117_250m,grav_hgm_conus117_250m_tif_conus117_250m,grav_iso_anom_conus117_250m,heatflow_eqwt_conus117_250m,heatflow_qcwt_conus117_250m,heatflow_tcwt_conus117_250m,hs_conus117_250m,ieq_n100a05_conus117_250m,ieq_n100a10_conus117_250m,ieq_n100a15_conus117_250m,ieq_n200a05_conus117_250m,ieq_n200a10_conus117_250m,ieq_n200a15_conus117_250m,ieq_n50a05_conus117_250m,ieq_n50a10_conus117_250m,ieq_n50a15_conus117_250m,mag_hgm_conus117_250m_tif_conus117_250m,mag_iso_anom_conus117_250m,qfaults_dist_age_0-15k_conus117_250m,qfaults_dist_age_130k-750k_conus117_250m,qfaults_dist_age_15k-130k_conus117_250m,qfaults_dist_age_750k-2600k_conus117_250m,qfaults_dist_age_other_conus117_250m,qfaults_dist_all_conus117_250m,qfv2_lr_recsr_conus117_250m,tsite_dist_hfqcresid_neg_conus117_250m,PosSite_Distance,NegSite_Distance,id,col1,geometry
147,R1410C774,1410,774,-212574.5257588717,1887870.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,53.715824,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-264.34985,-309.91956,-332.14417,1422.3059,1467.8756,1490.1002,33.4,12.6,16.5,0.0013561931,-2.101718,84.11931,85.76726,84.62795,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-72.10783,16364.978,57620.527,10606.602,1000.0,312565.4,1000.0,-7.890648,16441.184,790.5694,37233.22,0,WalkerLane,POINT (-212574.5257588717 1887870.1753636356)
148,R1411C773,1411,773,-212824.5257588717,1887620.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,36.13482,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-266.3673,-311.43896,-333.47705,1424.3234,1469.395,1491.4331,33.4,12.6,16.5,0.0011102827,-1.3385698,84.1689,85.82207,84.657295,220.0,2532.0,1476.0,1551.2,3342.1,2044.0,1686.7,1386.7,934.3,923.6,3.865892e-06,-141.72926,16433.578,57273.47,10891.511,1250.0,312918.9,1250.0,-7.9664607,16234.608,1000.0,37420.75,0,WalkerLane,POINT (-212824.5257588717 1887620.1753636356)
149,R1411C774,1411,774,-212574.5257588717,1887620.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,53.715824,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-265.49353,-310.89832,-332.74194,1423.4496,1468.8544,1490.698,33.4,12.6,16.5,0.0013561931,-2.101718,84.15187,85.804504,84.641495,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-72.10783,16224.98,57413.523,10854.146,1000.0,312744.4,1000.0,-7.888261,16194.135,750.0,37176.94,0,WalkerLane,POINT (-212574.5257588717 1887620.1753636356)
150,R1411C775,1411,775,-212324.5257588717,1887620.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,53.715824,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-264.62634,-310.3595,-332.00842,1422.5824,1468.3156,1489.9645,33.4,12.6,16.5,0.0013561931,-2.101718,84.13512,85.78715,84.62591,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-72.10783,16017.568,57554.32,10822.431,750.0,312570.0,750.0,-7.7886295,16157.429,500.0,36933.215,0,WalkerLane,POINT (-212324.5257588717 1887620.1753636356)
151,R1412C774,1412,774,-212574.5257588717,1887370.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,53.715824,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-266.20312,-311.60742,-332.9729,1424.1592,1469.5635,1490.929,33.4,12.6,16.5,0.0013561931,-2.101718,84.18411,85.841255,84.65459,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-72.10783,16087.65,57206.863,11101.802,1000.0,312923.5,1000.0,-7.885499,15947.179,790.5694,37122.266,0,WalkerLane,POINT (-212574.5257588717 1887370.1753636356)
152,R1412C775,1412,775,-212324.5257588717,1887370.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,53.715824,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-265.3219,-311.0647,-332.23608,1423.278,1469.0208,1490.1921,33.4,12.6,16.5,0.0013561931,-2.101718,84.16741,85.82397,84.6389,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-72.10783,15878.444,57348.168,11070.795,750.0,312749.2,750.0,-7.786295,15909.902,559.01697,36878.18,0,WalkerLane,POINT (-212324.5257588717 1887370.1753636356)
153,R1412C776,1412,776,-212074.5257588717,1887370.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,53.715824,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-264.78577,-310.87366,-331.61243,1422.7418,1468.8297,1489.5685,32.6,12.3,16.1,0.0013561931,-2.101718,84.15099,85.8069,84.623436,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-72.10783,15670.434,57490.215,11045.361,500.0,312575.0,500.0,-7.6475844,15876.477,353.5534,36634.17,0,WalkerLane,POINT (-212074.5257588717 1887370.1753636356)
154,R1413C774,1413,774,-212574.5257588717,1887120.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,45.32672,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-267.3562,-312.58887,-333.57288,1425.3123,1470.5449,1491.5289,33.4,12.6,16.5,0.0013561931,-3.274189,84.21603,85.877495,84.66724,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-96.238815,15953.056,57000.547,11349.56,1030.7764,313102.72,1030.7764,-7.8914747,15700.318,901.3878,37069.19,0,WalkerLane,POINT (-212574.5257588717 1887120.1753636356)
155,R1413C775,1413,775,-212324.5257588717,1887120.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,45.32672,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-266.45776,-312.04114,-332.83203,1424.4138,1469.9972,1490.7881,33.4,12.6,16.5,0.0013561931,-3.274189,84.199394,85.86029,84.65144,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-96.238815,15742.062,57142.367,11319.231,790.5694,312928.5,790.5694,-7.8000135,15662.455,707.1068,36824.754,0,WalkerLane,POINT (-212324.5257588717 1887120.1753636356)
156,R1413C776,1413,776,-212074.5257588717,1887120.1753636356,1,4.123486,4.3490534,2.661144,2.7528718,4.060751,1157.0,45.32672,1089.6,820.6,716.7,643.4,594.6,441.8,1500.5,1475.7,1376.1,-265.9043,-311.8452,-332.20435,1423.8604,1469.8013,1490.1604,32.6,12.3,16.1,0.0013561931,-3.274189,84.18304,85.8433,84.63588,220.0,2497.3,1426.2,1456.4,2740.4,1985.2,1651.2,1186.7,920.1,909.5,5.310975e-06,-96.238815,15532.225,57284.926,11294.357,559.01697,312754.4,559.01697,-7.6818256,15628.5,559.01697,36580.39,0,WalkerLane,POINT (-212074.5257588717 1887120.1753636356)
