,id_rc,row,column,x,y,in_bounds,cond_mt_lowcrust_conus117_250m,cond_mt_mantle_conus117_250m,cond_mt_midcrust_conus117_250m,cond_mt_surface_conus117_250m,cond_mt_upmantle_conus117_250m,dem_conus117_250m,depth_to_basement_conus117_250m,deq_n100a05_conus117_250m,deq_n100a10_conus117_250m,deq_n100a15_conus117_250m,deq_n200a05_conus117_250m,deq_n200a10_conus117_250m,deq_n200a15_conus117_250m,deq_n50a05_conus117_250m,deq_n50a10_conus117_250m,deq_n50a15_conus117_250m,elevation_detrended_span005_conus117_250m,elevation_detrended_span01_conus117_250m,elevation_detrended_span03_conus117_250m,elevation_trend_span005_conus117_250m,elevation_trend_span01_conus117_250m,elevation_trend_span03_conus117_250m,geod_2ndinv_conus117_250m,geod_dilation_conus117_250m,geod_shear_conus117_250m,grav_iso_anom_conus117_250m,heatflow_eqwt_conus117_250m,heatflow_qcwt_conus117_250m,heatflow_tcwt_conus117_250m,hs_conus117_250m,ieq_n100a05_conus117_250m,ieq_n100a10_conus117_250m,ieq_n100a15_conus117_250m,ieq_n200a05_conus117_250m,ieq_n200a10_conus117_250m,ieq_n200a15_conus117_250m,ieq_n50a05_conus117_250m,ieq_n50a10_conus117_250m,ieq_n50a15_conus117_250m,mag_iso_anom_conus117_250m,qfaults_dist_age_0-15k_conus117_250m,qfaults_dist_age_130k-750k_conus117_250m,qfaults_dist_age_15k-130k_conus117_250m,qfaults_dist_age_750k-2600k_conus117_250m,qfaults_dist_age_other_conus117_250m,qfaults_dist_all_conus117_250m,qfv2_lr_recsr_conus117_250m,tsite_dist_hfqcresid_neg_conus117_250m,PosSite_Distance,NegSite_Distance,geometry
603723,R168C435,168,435,-297324.5258,2198370.1753636356,1,4.147393,4.233718,3.1775725,3.522215,4.112748,1279,22.757574,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-340.90857,-324.9834,-298.12183,1617.9573,1602.0321,1575.1705,4.3,-5.5,0,-19.326931,76.90454,76.89946,77.59067,231,74.8,130.1,106.5,134.7,155.1,194.8,72.9,76.6,75.1,-122.2895,559.01697,13804.4375,45785.504,2236.0679,296253.8,559.01697,-7.4485025,45169.82,901.3878,341177.38,POINT (-297324.5257588717 2198370.1753636356)
603724,R168C436,168,436,-297074.5258,2198370.1753636356,1,4.147393,4.233718,3.1775725,3.522215,4.112748,1284,22.757574,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-332.09863,-317.79236,-291.6532,1615.4103,1601.104,1574.9648,4.3,-5.5,0,-19.326931,76.93278,76.921974,77.62098,228,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-122.2895,353.5534,13601.471,45608.387,2136.001,296003.8,353.5534,-7.220106,45127.598,790.5694,341088.78,POINT (-297074.5257588717 2198370.1753636356)
603725,R168C437,168,437,-296824.5258,2198370.1753636356,1,4.108775,4.233718,3.1775725,3.522215,4.112748,1287,22.757574,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-327.1377,-314.39404,-288.99133,1612.9001,1600.1565,1574.7538,4.3,-5.5,0,-19.326931,76.960846,76.944336,77.651115,227,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-122.2895,250,13400.094,45431.953,2015.5645,295753.8,250,-7.0474243,45086.723,750,341000.38,POINT (-296824.5257588717 2198370.1753636356)
603726,R168C438,168,438,-296574.5258,2198370.1753636356,1,4.108775,4.233718,3.1775725,3.522215,4.112748,1287,22.537155,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-323.24902,-311.70605,-286.9319,1611.0536,1599.5106,1574.7365,4.2,-5.5,0,-19.775734,76.98875,76.96655,77.68108,224,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-107.86876,0,13200.379,45256.215,1903.9432,295503.8,0,-6.3646955,45047.2,790.5694,340912.1,POINT (-296574.5257588717 2198370.1753636356)
603727,R168C439,168,439,-296324.5258,2198370.1753636356,1,4.108775,4.233718,3.1775725,3.522215,4.112748,1285,22.537155,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-325.75122,-315.6803,-291.66577,1608.6028,1598.5319,1574.5173,4.2,-5.5,0,-19.775734,77.01647,76.98862,77.71088,224,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-107.86876,250,13002.403,45081.176,1820.0275,295253.8,250,-7.037322,45009.027,901.3878,340824,POINT (-296324.5257588717 2198370.1753636356)
607313,R169C434,169,434,-297574.5258,2198120.1753636356,1,4.147393,4.233718,3.1775725,3.522215,4.112748,1282,15.392845,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-338.09985,-320.29785,-292.57214,1621.1007,1603.2987,1575.573,4.3,-5.5,0,-9.550628,76.866974,76.86633,77.55435,230,74.8,130.1,106.5,134.7,155.1,194.8,72.9,76.6,75.1,-159.26335,500,14153.18,45788.234,2000,296505.16,500,-7.4016733,44967.348,901.3878,341032.44,POINT (-297574.5257588717 2198120.1753636356)
607314,R169C435,169,435,-297324.5258,2198120.1753636356,1,4.147393,4.233718,3.1775725,3.522215,4.112748,1282,15.392845,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-336.57202,-320.38916,-293.38855,1618.5535,1602.3706,1575.37,4.3,-5.5,0,-9.550628,76.89536,76.888985,77.58481,228,74.8,130.1,106.5,134.7,155.1,194.8,72.9,76.6,75.1,-159.26335,353.5534,13950.807,45609.758,2015.5645,296255.16,353.5534,-7.2275963,44923.547,707.1068,340943.62,POINT (-297324.5257588717 2198120.1753636356)
607315,R169C436,169,436,-297074.5258,2198120.1753636356,1,4.147393,4.233718,3.1775725,3.522215,4.112748,1287,15.392845,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-329.7693,-314.94775,-288.53357,1616.6024,1601.7809,1575.3667,4.3,-5.5,0,-9.550628,76.923584,76.91149,77.615105,229,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-159.26335,250,13750,45431.953,1903.9432,296005.2,250,-7.05505,44881.094,559.01697,340855,POINT (-297074.5257588717 2198120.1753636356)
607316,R169C437,169,437,-296824.5258,2198120.1753636356,1,4.108775,4.233718,3.1775725,3.522215,4.112748,1290,15.392845,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-324.6183,-311.32898,-285.66248,1614.1113,1600.822,1575.1555,4.3,-5.5,0,-9.550628,76.95164,76.933846,77.645226,228,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-159.26335,0,13550.83,45254.836,1802.7756,295755.2,0,-6.3724327,44839.992,500,340766.5,POINT (-296824.5257588717 2198120.1753636356)
607317,R169C438,169,438,-296574.5258,2198120.1753636356,1,4.108775,4.233718,3.1775725,3.522215,4.112748,1292,14.699081,36.6,41.2,448.1,11.9,21.2,289.1,58.5,57.5,532.2,-322.61243,-310.52832,-285.49316,1612.2606,1600.1765,1575.1414,4.2,-5.5,0,-9.540043,76.979515,76.956055,77.67517,224,74.7,130.5,104.5,138.8,155.8,192.5,75.7,75,75.3,-134.92044,250,13353.37,45078.402,1677.051,295505.2,250,-7.045192,44800.25,559.01697,340678.2,POINT (-296574.5257588717 2198120.1753636356)
