,id_rc,row,column,x,y,in_bounds,cond_mt_lowcrust_conus117_250m,cond_mt_mantle_conus117_250m,cond_mt_midcrust_conus117_250m,cond_mt_surface_conus117_250m,cond_mt_upmantle_conus117_250m,dem_conus117_250m,depth_to_basement_conus117_250m,deq_n100a05_conus117_250m,deq_n100a10_conus117_250m,deq_n100a15_conus117_250m,deq_n200a05_conus117_250m,deq_n200a10_conus117_250m,deq_n200a15_conus117_250m,deq_n50a05_conus117_250m,deq_n50a10_conus117_250m,deq_n50a15_conus117_250m,elevation_detrended_span005_conus117_250m,elevation_detrended_span01_conus117_250m,elevation_detrended_span03_conus117_250m,elevation_trend_span005_conus117_250m,elevation_trend_span01_conus117_250m,elevation_trend_span03_conus117_250m,geod_2ndinv_conus117_250m,geod_dilation_conus117_250m,geod_shear_conus117_250m,grav_hgm_conus117_250m_tif_conus117_250m,grav_iso_anom_conus117_250m,heatflow_eqwt_conus117_250m,heatflow_qcwt_conus117_250m,heatflow_tcwt_conus117_250m,hs_conus117_250m,ieq_n100a05_conus117_250m,ieq_n100a10_conus117_250m,ieq_n100a15_conus117_250m,ieq_n200a05_conus117_250m,ieq_n200a10_conus117_250m,ieq_n200a15_conus117_250m,ieq_n50a05_conus117_250m,ieq_n50a10_conus117_250m,ieq_n50a15_conus117_250m,mag_hgm_conus117_250m_tif_conus117_250m,mag_iso_anom_conus117_250m,qfaults_dist_age_0-15k_conus117_250m,qfaults_dist_age_130k-750k_conus117_250m,qfaults_dist_age_15k-130k_conus117_250m,qfaults_dist_age_750k-2600k_conus117_250m,qfaults_dist_age_other_conus117_250m,qfaults_dist_all_conus117_250m,qfv2_lr_recsr_conus117_250m,tsite_dist_hfqcresid_neg_conus117_250m,PosSite_Distance,NegSite_Distance,id,col1,geometry
56,R1233C525,1233,525,-274824.5257588717,1932120.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1222.0,78.699844,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-179.05005,-267.6942,-338.50183,1401.9249,1490.5691,1561.3767,17.2,0.2,12.1,0.0031698109,-1.0081732,79.34181,79.702934,79.09272,220.0,561.5,509.7,635.5,913.1,784.4,787.1,274.0,326.2,453.4,5.755999e-06,409.9661,7810.2495,32144.207,1030.7764,17544.586,332941.62,1030.7764,-7.692666,37132.363,707.1068,111735.46,0,WalkerLane,POINT (-274824.5257588717 1932120.1753636356)
57,R1233C526,1233,526,-274574.5257588717,1932120.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1222.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-178.32324,-266.1388,-337.25085,1401.9857,1489.8013,1560.9133,17.2,0.4,12.0,0.0034015898,1.3212326,79.34792,79.70893,79.100716,220.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.2656968e-05,399.99435,7619.8755,31903.174,790.5694,17793.959,332731.22,790.5694,-7.610075,37353.047,559.01697,111515.13,0,WalkerLane,POINT (-274574.5257588717 1932120.1753636356)
58,R1233C527,1233,527,-274324.5257588717,1932120.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1223.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-177.92224,-265.72705,-336.9994,1401.4792,1489.284,1560.5564,17.2,0.4,12.0,0.0034015898,1.3212326,79.3537,79.714584,79.10841,220.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.2656968e-05,399.99435,7433.034,31662.281,559.01697,18043.35,332520.88,559.01697,-7.501834,37574.094,500.0,111294.94,0,WalkerLane,POINT (-274324.5257588717 1932120.1753636356)
59,R1233C528,1233,528,-274074.5257588717,1932120.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1223.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-176.99622,-263.96912,-335.5453,1401.5438,1488.5167,1560.0929,17.2,0.4,12.0,0.0034015898,1.3212326,79.359146,79.719894,79.1158,220.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.2656968e-05,399.99435,7250.0,31421.53,353.5534,18292.758,332310.56,353.5534,-7.357332,37795.504,559.01697,111074.86,0,WalkerLane,POINT (-274074.5257588717 1932120.1753636356)
60,R1233C529,1233,529,-273824.5257588717,1932120.1753636356,1,4.055595,4.382942,2.506652,2.373019,4.1089582,1225.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-175.65918,-261.79248,-333.6714,1401.6171,1487.7504,1559.6293,17.2,0.4,12.0,0.0034015898,1.3212326,79.36426,79.72487,79.12287,220.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.2656968e-05,399.99435,7071.068,31180.924,250.0,18542.182,332100.3,250.0,-7.249486,38017.266,707.1068,110854.914,0,WalkerLane,POINT (-273824.5257588717 1932120.1753636356)
63,R1234C525,1234,525,-274824.5257588717,1931870.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1222.0,78.699844,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-178.95227,-268.79053,-339.4569,1400.8525,1490.6908,1561.3572,17.4,0.1,12.3,0.003608712,-1.0081732,79.37087,79.74028,79.12079,220.0,561.5,509.7,635.5,913.1,784.4,787.1,274.0,326.2,453.4,1.5571157e-05,409.9661,7652.614,32211.217,1118.0339,17564.168,333076.66,1118.0339,-7.7130966,37250.84,559.01697,111617.65,0,WalkerLane,POINT (-274824.5257588717 1931870.1753636356)
64,R1234C526,1234,526,-274574.5257588717,1931870.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1222.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-178.65588,-267.6853,-338.6598,1400.8905,1489.9199,1560.8944,17.4,0.3,12.1,0.0027116504,1.3212326,79.37706,79.746376,79.12887,220.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.6825259e-05,399.99435,7458.217,31970.69,901.3878,17813.268,332866.34,901.3878,-7.6462154,37470.82,353.5534,111397.09,0,WalkerLane,POINT (-274574.5257588717 1931870.1753636356)
65,R1234C527,1234,527,-274324.5257588717,1931870.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1222.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-178.0448,-266.2578,-337.53894,1400.9371,1489.1501,1560.4313,17.4,0.3,12.1,0.0027116504,1.3212326,79.38291,79.75212,79.136635,221.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.6825259e-05,399.99435,7267.2207,31730.309,707.1068,18062.393,332656.06,707.1068,-7.5708513,37691.18,250.0,111176.664,0,WalkerLane,POINT (-274324.5257588717 1931870.1753636356)
66,R1234C528,1234,528,-274074.5257588717,1931870.1753636356,1,4.127771,4.382942,2.506652,2.373019,4.1089582,1223.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-176.86731,-264.67468,-336.27173,1400.4388,1488.2462,1559.8433,17.4,0.3,12.1,0.0027116504,1.3212326,79.388435,79.75753,79.1441,221.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.6825259e-05,399.99435,7079.9014,31490.078,559.01697,18311.541,332445.88,559.01697,-7.4979486,37911.906,353.5534,110956.35,0,WalkerLane,POINT (-274074.5257588717 1931870.1753636356)
67,R1234C529,1234,529,-273824.5257588717,1931870.1753636356,1,4.055595,4.382942,2.506652,2.373019,4.1089582,1224.0,37.05333,1014.4,612.8,722.0,518.0,383.7,394.1,1148.6,1115.2,885.5,-175.53503,-262.5188,-334.42126,1400.4938,1487.4775,1559.38,17.4,0.3,12.1,0.0027116504,1.3212326,79.393616,79.76259,79.15124,221.0,550.5,546.1,684.3,862.6,808.2,863.8,289.5,347.6,465.0,1.6825259e-05,399.99435,6896.557,31250.0,500.0,18560.71,332235.72,500.0,-7.4644628,38132.992,559.01697,110736.17,0,WalkerLane,POINT (-273824.5257588717 1931870.1753636356)
